model_name,gpu,num_gpu,target_input_tokens,target_output_tokens,batch_size,dataset,num_samples
mistralai/Mixtral-8x7B-Instruct-v0.1,H200,8,13K,1K,64,longbench_v2,100
mistralai/Mixtral-8x7B-Instruct-v0.1,H100,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x7B-Instruct-v0.1,H100,8,13K,1K,128,longbench_v2,256
mistralai/Mixtral-8x7B-Instruct-v0.1,A100,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x7B-Instruct-v0.1,A100,8,13K,1K,128,longbench_v2,256
mistralai/Mixtral-8x7B-Instruct-v0.1,H200,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x7B-Instruct-v0.1,H200,8,13K,1K,128,longbench_v2,256
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,4K,1K,1,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,13K,1K,1,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,4K,1K,1,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,13K,1K,1,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,4K,1K,1,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,13K,1K,1,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,4K,1K,32,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,13K,1K,32,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,4K,1K,32,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,13K,1K,32,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,4K,1K,32,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,13K,1K,32,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,4K,1K,64,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,13K,1K,64,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,4K,1K,64,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,13K,1K,64,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,4K,1K,64,gsm8k,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,13K,1K,64,longbench_v2,100
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x22B-Instruct-v0.1,H100,8,13K,1K,128,longbench_v2,256
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x22B-Instruct-v0.1,A100,8,13K,1K,128,longbench_v2,256
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,4K,1K,128,gsm8k,256
mistralai/Mixtral-8x22B-Instruct-v0.1,H200,8,13K,1K,128,longbench_v2,256
deepseek-ai/DeepSeek-R1,H200,8,4K,1K,1,gsm8k,100
deepseek-ai/DeepSeek-R1,H200,8,13K,1K,1,longbench_v2,100
deepseek-ai/DeepSeek-R1,H200,8,4K,1K,32,gsm8k,100
deepseek-ai/DeepSeek-R1,H200,8,13K,1K,32,longbench_v2,100
deepseek-ai/DeepSeek-R1,H200,8,4K,1K,64,gsm8k,100
deepseek-ai/DeepSeek-R1,H200,8,13K,1K,64,longbench_v2,100
deepseek-ai/DeepSeek-R1,H200,8,4K,1K,128,gsm8k,256
deepseek-ai/DeepSeek-R1,H200,8,13K,1K,128,longbench_v2,256
